Match Info,Guest Team,Host Team,Date,Time,Stadium,Address,City,State,Zip,Lowest Ticket Price,Ticket Website
Atlanta Falcons at Arizona Cardinals,Atlanta Falcons,Arizona Cardinals,2019/10/13,13:05,State Farm Stadium,1 Cardinals Drive,Glendale,AZ,85303,16,https://www.vividseats.com/nfl/arizona-cardinals-tickets/cardinals-1-4-3001927.html
San Francisco 49ers at Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,2019/10/31,17:20,State Farm Stadium,1 Cardinals Drive,Glendale,AZ,85303,27,https://www.vividseats.com/nfl/arizona-cardinals-tickets/cardinals-1-3-3001926.html
Los Angeles Rams at Arizona Cardinals,Los Angeles Rams,Arizona Cardinals,2019/12/1,14:05,State Farm Stadium,1 Cardinals Drive,Glendale,AZ,85303,28,https://www.vividseats.com/nfl/arizona-cardinals-tickets/cardinals-1-2-3001925.html
Pittsburgh Steelers at Arizona Cardinals,Pittsburgh Steelers,Arizona Cardinals,2019/12/8,14:25,State Farm Stadium,1 Cardinals Drive,Glendale,AZ,85303,119,https://www.vividseats.com/nfl/arizona-cardinals-tickets/cardinals-1-7-3001930.html
Cleveland Browns at Arizona Cardinals,Cleveland Browns,Arizona Cardinals,2019/12/15,14:05,State Farm Stadium,1 Cardinals Drive,Glendale,AZ,85303,50,https://www.vividseats.com/nfl/arizona-cardinals-tickets/cardinals-1-8-3001931.html
Los Angeles Rams at Atlanta Falcons,Los Angeles Rams,Atlanta Falcons,2019/10/20,13:00,Mercedes-Benz Stadium,441 M.L.K. Jr Dr NW,Atlanta,GA,30313,60,https://www.vividseats.com/nfl/atlanta-falcons-tickets/falcons-1-4-3001964.html
Seattle Seahawks at Atlanta Falcons,Seattle Seahawks,Atlanta Falcons,2019/10/27,13:00,Mercedes-Benz Stadium,441 M.L.K. Jr Dr NW,Atlanta,GA,30313,65,https://www.vividseats.com/nfl/atlanta-falcons-tickets/falcons-1-5-3001965.html
Tampa Bay Buccaneers at Atlanta Falcons,Tampa Bay Buccaneers,Atlanta Falcons,2019/11/24,13:00,Mercedes-Benz Stadium,441 M.L.K. Jr Dr NW,Atlanta,GA,30313,38,https://www.vividseats.com/nfl/atlanta-falcons-tickets/falcons-1-3-3001963.html
New Orleans Saints at Atlanta Falcons,New Orleans Saints,Atlanta Falcons,2019/11/28,20:20,Mercedes-Benz Stadium,441 M.L.K. Jr Dr NW,Atlanta,GA,30313,114,https://www.vividseats.com/nfl/atlanta-falcons-tickets/falcons-1-2-3001962.html
Carolina Panthers at Atlanta Falcons,Carolina Panthers,Atlanta Falcons,2019/12/8,13:00,Mercedes-Benz Stadium,441 M.L.K. Jr Dr NW,Atlanta,GA,30313,65,https://www.vividseats.com/nfl/atlanta-falcons-tickets/falcons-1-1-3001961.html
