Date,High,Low,City
10-01-2019,89,67,pittsburgh
10-02-2019,86,69,pittsburgh
10-03-2019,89,65,pittsburgh
10-04-2019,65,43,pittsburgh
10-05-2019,69,58,pittsburgh
10-06-2019,73,55,pittsburgh
10-07-2019,59,47,pittsburgh
10-08-2019,66,44,pittsburgh
10-09-2019,70,48,pittsburgh
10-10-2019,70,48,pittsburgh
10-11-2019,72,45,pittsburgh
10-12-2019,63,42,pittsburgh
10-13-2019,61,43,pittsburgh
10-14-2019,64,46,pittsburgh
10-15-2019,66,48,pittsburgh
10-16-2019,67,50,pittsburgh
10-17-2019,68,52,pittsburgh
10-18-2019,70,51,pittsburgh
10-19-2019,54,34,pittsburgh
10-20-2019,55,43,pittsburgh
10-21-2019,69,48,pittsburgh
10-22-2019,66,46,pittsburgh
10-23-2019,67,46,pittsburgh
10-24-2019,65,44,pittsburgh
10-25-2019,63,40,pittsburgh
10-26-2019,58,38,pittsburgh
10-27-2019,56,42,pittsburgh
10-28-2019,56,44,pittsburgh
10-29-2019,57,42,pittsburgh
10-30-2019,56,46,pittsburgh
10-31-2019,65,48,pittsburgh
11-01-2019,65,47,pittsburgh
11-02-2019,64,39,pittsburgh
11-03-2019,53,30,pittsburgh
11-04-2019,47,34,pittsburgh
11-05-2019,51,35,pittsburgh
11-06-2019,51,44,pittsburgh
11-07-2019,58,46,pittsburgh
11-08-2019,59,36,pittsburgh
11-09-2019,58,41,pittsburgh
11-10-2019,56,39,pittsburgh
11-11-2019,59,42,pittsburgh
11-12-2019,62,48,pittsburgh
11-13-2019,64,38,pittsburgh
11-14-2019,61,34,pittsburgh
11-15-2019,57,30,pittsburgh
11-16-2019,44,28,pittsburgh
11-17-2019,43,34,pittsburgh
11-18-2019,47,32,pittsburgh
11-19-2019,45,27,pittsburgh
11-20-2019,44,32,pittsburgh
11-21-2019,50,38,pittsburgh
11-22-2019,53,41,pittsburgh
11-23-2019,55,40,pittsburgh
11-24-2019,55,37,pittsburgh
11-25-2019,57,33,pittsburgh
11-26-2019,56,36,pittsburgh
11-27-2019,51,39,pittsburgh
11-28-2019,54,39,pittsburgh
11-29-2019,56,26,pittsburgh
11-30-2019,55,23,pittsburgh
12-01-2019,40,22,pittsburgh
12-02-2019,35,22,pittsburgh
12-03-2019,36,23,pittsburgh
12-04-2019,38,31,pittsburgh
12-05-2019,43,30,pittsburgh
12-06-2019,52,26,pittsburgh
12-07-2019,52,28,pittsburgh
12-08-2019,37,23,pittsburgh
12-09-2019,38,25,pittsburgh
12-10-2019,37,32,pittsburgh
12-11-2019,41,25,pittsburgh
12-12-2019,48,25,pittsburgh
12-13-2019,35,32,pittsburgh
12-14-2019,40,34,pittsburgh
12-15-2019,47,37,pittsburgh
12-16-2019,49,37,pittsburgh
12-17-2019,52,34,pittsburgh
12-18-2019,50,31,pittsburgh
12-19-2019,50,17,pittsburgh
12-20-2019,41,13,pittsburgh
12-21-2019,31,14,pittsburgh
12-22-2019,29,20,pittsburgh
12-23-2019,32,23,pittsburgh
12-24-2019,38,25,pittsburgh
12-25-2019,42,25,pittsburgh
12-26-2019,44,28,pittsburgh
12-27-2019,46,31,pittsburgh
12-28-2019,46,30,pittsburgh
12-29-2019,45,28,pittsburgh
12-30-2019,38,27,pittsburgh
12-31-2019,40,23,pittsburgh
10-01-2019,94,76,arlington
10-02-2019,95,74,arlington
10-03-2019,95,74,arlington
10-04-2019,95,73,arlington
10-05-2019,93,74,arlington
10-06-2019,94,59,arlington
10-07-2019,73,54,arlington
10-08-2019,78,58,arlington
10-09-2019,85,70,arlington
10-10-2019,83,47,arlington
10-11-2019,67,51,arlington
10-12-2019,70,52,arlington
10-13-2019,75,56,arlington
10-14-2019,81,61,arlington
10-15-2019,82,62,arlington
10-16-2019,81,62,arlington
10-17-2019,82,63,arlington
10-18-2019,81,63,arlington
10-19-2019,71,55,arlington
10-20-2019,71,58,arlington
10-21-2019,80,61,arlington
10-22-2019,79,60,arlington
10-23-2019,79,57,arlington
10-24-2019,73,54,arlington
10-25-2019,71,51,arlington
10-26-2019,77,56,arlington
10-27-2019,77,58,arlington
10-28-2019,76,60,arlington
10-29-2019,77,59,arlington
10-30-2019,79,58,arlington
10-31-2019,78,54,arlington
11-01-2019,63,53,arlington
11-02-2019,66,56,arlington
11-03-2019,66,44,arlington
11-04-2019,67,48,arlington
11-05-2019,70,56,arlington
11-06-2019,66,56,arlington
11-07-2019,69,55,arlington
11-08-2019,69,54,arlington
11-09-2019,66,51,arlington
11-10-2019,70,51,arlington
11-11-2019,71,52,arlington
11-12-2019,62,55,arlington
11-13-2019,73,44,arlington
11-14-2019,72,41,arlington
11-15-2019,63,40,arlington
11-16-2019,59,45,arlington
11-17-2019,62,52,arlington
11-18-2019,62,45,arlington
11-19-2019,59,45,arlington
11-20-2019,60,45,arlington
11-21-2019,64,46,arlington
11-22-2019,65,47,arlington
11-23-2019,64,43,arlington
11-24-2019,65,36,arlington
11-25-2019,60,48,arlington
11-26-2019,62,51,arlington
11-27-2019,67,35,arlington
11-28-2019,69,31,arlington
11-29-2019,55,31,arlington
11-30-2019,51,32,arlington
12-01-2019,51,37,arlington
12-02-2019,53,39,arlington
12-03-2019,50,38,arlington
12-04-2019,55,32,arlington
12-05-2019,52,37,arlington
12-06-2019,56,37,arlington
12-07-2019,62,39,arlington
12-08-2019,56,41,arlington
12-09-2019,53,36,arlington
12-10-2019,61,30,arlington
12-11-2019,58,31,arlington
12-12-2019,50,41,arlington
12-13-2019,56,45,arlington
12-14-2019,63,48,arlington
12-15-2019,66,47,arlington
12-16-2019,68,37,arlington
12-17-2019,67,27,arlington
12-18-2019,61,26,arlington
12-19-2019,45,26,arlington
12-20-2019,44,24,arlington
12-21-2019,45,25,arlington
12-22-2019,45,26,arlington
12-23-2019,47,29,arlington
12-24-2019,49,34,arlington
12-25-2019,46,43,arlington
12-26-2019,59,35,arlington
12-27-2019,63,28,arlington
12-28-2019,61,29,arlington
12-29-2019,48,32,arlington
12-30-2019,49,28,arlington
12-31-2019,46,27,arlington
10-01-2019,89,74,cleveland
10-02-2019,81,63,cleveland
10-03-2019,75,62,cleveland
10-04-2019,67,62,cleveland
10-05-2019,72,56,cleveland
10-06-2019,64,53,cleveland
10-07-2019,65,51,cleveland
10-08-2019,70,54,cleveland
10-09-2019,71,56,cleveland
10-10-2019,70,51,cleveland
10-11-2019,59,49,cleveland
10-12-2019,59,50,cleveland
10-13-2019,61,51,cleveland
10-14-2019,63,53,cleveland
10-15-2019,64,53,cleveland
10-16-2019,65,54,cleveland
10-17-2019,68,52,cleveland
10-18-2019,53,40,cleveland
10-19-2019,54,47,cleveland
10-20-2019,68,53,cleveland
10-21-2019,65,53,cleveland
10-22-2019,66,50,cleveland
10-23-2019,62,48,cleveland
10-24-2019,58,47,cleveland
10-25-2019,56,46,cleveland
10-26-2019,58,46,cleveland
10-27-2019,54,48,cleveland
10-28-2019,55,49,cleveland
10-29-2019,57,51,cleveland
10-30-2019,63,52,cleveland
10-31-2019,63,51,cleveland
11-01-2019,63,51,cleveland
11-02-2019,62,43,cleveland
11-03-2019,50,35,cleveland
11-04-2019,45,36,cleveland
11-05-2019,47,43,cleveland
11-06-2019,50,48,cleveland
11-07-2019,55,46,cleveland
11-08-2019,59,40,cleveland
11-09-2019,56,49,cleveland
11-10-2019,56,47,cleveland
11-11-2019,59,49,cleveland
11-12-2019,60,50,cleveland
11-13-2019,60,43,cleveland
11-14-2019,59,36,cleveland
11-15-2019,50,34,cleveland
11-16-2019,43,36,cleveland
11-17-2019,43,43,cleveland
11-18-2019,51,35,cleveland
11-19-2019,49,33,cleveland
11-20-2019,44,39,cleveland
11-21-2019,49,42,cleveland
11-22-2019,51,43,cleveland
11-23-2019,52,42,cleveland
11-24-2019,52,38,cleveland
11-25-2019,51,40,cleveland
11-26-2019,55,43,cleveland
11-27-2019,50,43,cleveland
11-28-2019,52,40,cleveland
11-29-2019,55,34,cleveland
11-30-2019,53,29,cleveland
12-01-2019,39,31,cleveland
12-02-2019,36,29,cleveland
12-03-2019,38,30,cleveland
12-04-2019,38,37,cleveland
12-05-2019,42,37,cleveland
12-06-2019,47,32,cleveland
12-07-2019,48,32,cleveland
12-08-2019,38,31,cleveland
12-09-2019,38,34,cleveland
12-10-2019,40,35,cleveland
12-11-2019,46,32,cleveland
12-12-2019,47,31,cleveland
12-13-2019,36,36,cleveland
12-14-2019,42,37,cleveland
12-15-2019,46,40,cleveland
12-16-2019,48,40,cleveland
12-17-2019,50,34,cleveland
12-18-2019,49,29,cleveland
12-19-2019,45,17,cleveland
12-20-2019,35,17,cleveland
12-21-2019,29,19,cleveland
12-22-2019,28,23,cleveland
12-23-2019,31,29,cleveland
12-24-2019,39,31,cleveland
12-25-2019,42,32,cleveland
12-26-2019,43,33,cleveland
12-27-2019,43,34,cleveland
12-28-2019,42,32,cleveland
12-29-2019,45,31,cleveland
12-30-2019,41,29,cleveland
12-31-2019,40,23,cleveland
10-01-2019,98,70,nashville
10-02-2019,99,68,nashville
10-03-2019,99,65,nashville
10-04-2019,85,66,nashville
10-05-2019,91,68,nashville
10-06-2019,83,59,nashville
10-07-2019,64,51,nashville
10-08-2019,74,53,nashville
10-09-2019,81,62,nashville
10-10-2019,81,62,nashville
10-11-2019,74,46,nashville
10-12-2019,67,42,nashville
10-13-2019,72,44,nashville
10-14-2019,74,47,nashville
10-15-2019,76,50,nashville
10-16-2019,77,51,nashville
10-17-2019,78,53,nashville
10-18-2019,77,51,nashville
10-19-2019,66,36,nashville
10-20-2019,66,45,nashville
10-21-2019,76,51,nashville
10-22-2019,75,50,nashville
10-23-2019,75,49,nashville
